year,month,extent,area,date,ice_efficiency
2020,2,2.92,1.83,2020-02-01,0.6267123287671234
2020,3,4.0,2.59,2020-03-01,0.6475
2020,4,6.66,4.81,2020-04-01,0.7222222222222221
2020,5,9.87,7.61,2020-05-01,0.7710233029381967
2020,6,13.27,10.59,2020-06-01,0.7980406932931424
2020,7,15.72,12.58,2020-07-01,0.8002544529262087
2020,8,17.76,14.42,2020-08-01,0.8119369369369369
2020,9,18.84,15.09,2020-09-01,0.8009554140127388
2020,10,18.49,14.6,2020-10-01,0.7896160086533262
2020,11,16.23,11.88,2020-11-01,0.7319778188539742
2020,12,10.57,6.61,2020-12-01,0.6253547776726585
2021,1,4.78,2.94,2021-01-01,0.6150627615062761
2021,2,2.89,1.72,2021-02-01,0.5951557093425606
2021,3,4.48,2.82,2021-03-01,0.6294642857142856
2021,4,7.13,5.29,2021-04-01,0.7419354838709677
2021,5,10.4,8.21,2021-05-01,0.789423076923077
2021,6,13.54,11.05,2021-06-01,0.8161004431314625
2021,7,16.45,13.36,2021-07-01,0.8121580547112462
2021,8,18.19,14.63,2021-08-01,0.8042880703683343
2021,9,18.51,14.42,2021-09-01,0.7790383576445165
2021,10,17.69,13.39,2021-10-01,0.7569248162803843
2021,11,15.04,10.45,2021-11-01,0.694813829787234
2021,12,9.24,5.48,2021-12-01,0.5930735930735931
2022,1,3.94,2.44,2022-01-01,0.6192893401015228
2022,2,2.21,1.38,2022-02-01,0.6244343891402715
2022,3,2.86,1.86,2022-03-01,0.6503496503496504
2022,4,5.95,4.25,2022-04-01,0.7142857142857143
2022,5,9.42,7.29,2022-05-01,0.7738853503184714
2022,6,12.22,9.56,2022-06-01,0.7823240589198036
2022,7,14.99,11.91,2022-07-01,0.7945296864576384
2022,8,17.05,13.67,2022-08-01,0.8017595307917889
2022,9,18.06,14.07,2022-09-01,0.7790697674418605
2022,10,17.47,13.34,2022-10-01,0.7635947338294219
2022,11,15.16,10.84,2022-11-01,0.7150395778364116
2022,12,8.84,5.23,2022-12-01,0.5916289592760181
2023,1,3.3,2.0,2023-01-01,0.6060606060606061
2023,2,1.98,1.19,2023-02-01,0.601010101010101
2023,3,2.84,1.79,2023-03-01,0.6302816901408451
2023,4,5.54,4.0,2023-04-01,0.7220216606498195
2023,5,8.45,6.51,2023-05-01,0.770414201183432
2023,6,11.11,8.58,2023-06-01,0.7722772277227723
2023,7,13.57,10.64,2023-07-01,0.7840825350036846
2023,8,15.57,12.23,2023-08-01,0.7854849068721901
2023,9,16.89,13.01,2023-09-01,0.7702782711663706
2023,10,16.28,12.54,2023-10-01,0.7702702702702702
2023,11,14.38,10.42,2023-11-01,0.7246175243393602
2023,12,8.76,5.93,2023-12-01,0.6769406392694064
2024,1,4.05,2.63,2024-01-01,0.6493827160493827
2024,2,2.19,1.54,2024-02-01,0.7031963470319635
2024,3,3.22,2.15,2024-03-01,0.6677018633540373
2024,4,6.25,4.61,2024-04-01,0.7376
2024,5,9.36,7.15,2024-05-01,0.763888888888889
2024,6,11.85,9.15,2024-06-01,0.7721518987341772
2024,7,14.2,11.2,2024-07-01,0.7887323943661971
2024,8,16.41,13.0,2024-08-01,0.7921998781230957
2024,9,17.15,13.32,2024-09-01,0.7766763848396502
2024,10,16.65,12.73,2024-10-01,0.7645645645645647
2024,11,14.31,10.51,2024-11-01,0.7344514325646401
2024,12,9.59,6.61,2024-12-01,0.6892596454640251
2025,1,4.69,2.84,2025-01-01,0.6055437100213219
2025,2,2.22,1.37,2025-02-01,0.6171171171171171
2025,3,3.0,1.93,2025-03-01,0.6433333333333333
2025,4,6.17,4.42,2025-04-01,0.7163695299837926
2025,5,9.27,7.14,2025-05-01,0.7702265372168284
2025,6,12.11,9.47,2025-06-01,0.781998348472337
2025,7,14.66,11.69,2025-07-01,0.7974079126875853
2025,8,16.5,13.06,2025-08-01,0.7915151515151515
2025,9,17.64,13.54,2025-09-01,0.7675736961451246
2025,10,16.96,12.7,2025-10-01,0.7488207547169811
2025,11,14.58,10.64,2025-11-01,0.729766803840878
2025,12,9.22,6.26,2025-12-01,0.6789587852494576
2026,1,4.49,3.01,2026-01-01,0.6703786191536748
2026,2,2.91,1.86,2026-02-01,0.6391752577319587
2026,3,3.57,2.18,2026-03-01,0.6106442577030813
2026,4,6.18,4.48,2026-04-01,0.7249190938511327
2026,5,9.34,7.16,2026-05-01,0.7665952890792291
2026,6,12.33,9.76,2026-06-01,0.7915652879156528
2026,7,15.01,11.81,2026-07-01,0.7868087941372419
