FID,id,set_code,date_time_utc,timestamp_gps_utc,geom,longitude,latitude,ship_course_over_ground_deg,ship_heading_gps_deg,ship_heading_gyro_deg,ship_log_knot,ship_spd_over_ground_knot,pitch_ten_sec_max_deg,pitch_ten_sec_min_deg,roll_ten_sec_max_deg,roll_ten_sec_min_deg,accum_precipitation_owi_mm,ambient_light_owi_candlesperm2,atm_press_hpa,bphase_optode_nounit,chlorophyll_ugperl,conductivity_tsg_mspercm,dew_point_degc,dphase_optode_nounit,flow_rate_tsg_lpermin,fluorescence_nounit,fluoromtr_flow_rate_lpermin,oxy_concen_corr_mmol,oxy_concen_uncorr_mmol,precipitation_rate_owi_mmperh,rad_biometric_medperhr,rad_infrrd_port_wperm2,rad_infrrd_strbrd_wperm2,rad_lcr_port_mmolepersperm2,rad_lcr_strbrd_mmolepersperm2,rad_lcr_wperm2,rad_par_port_wperme,rad_par_strbrd_wperme,rad_slr_port_wperm2,rad_slr_strbrd_wperm2,rad_uv_wperm2,rain_accum_foremst_mm,rel_humidity_port_percent,rel_humidity_strbrd_percent,salinity_optode_psu,salinity_other_psu,salinity_tsg_psu,temp_air_degc,temp_air_port_degc,temp_air_strbrd_degc,temp_biometer_degc,temp_infrrd_snsor_port_degc,temp_infrrd_snsor_strbrd_degc,temp_sea_wtr_degc,temp_sea_wtr_high_res_degc,temp_tsg_degc,visibility_owi_km,wnd_dir_port_corr_deg,wnd_dir_port_uncorr_deg,wnd_dir_strbrd_corr_deg,wnd_dir_strbrd_uncorr_deg,wnd_spd_port_corr_knot,wnd_spd_port_uncorr_knot,wnd_spd_strbrd_corr_knot,wnd_spd_strbrd_uncorr_knot,wthr_indictr_code_owi_nounit,wtr_depth_biometr_m,wtr_depth_m,wtr_temp_optode_degc
underway_1200.33908929,33908929,201011040,2011-03-18T04:54:10,20110318045410,MULTIPOINT ((-42.8826 147.3405)),147.3405,-42.8826,160.6,79.761,79.78820801,,0,0.93,0,0.5,0,,,1015.2,,,43.45422445,,,9.64,2.3698,4.193,,,,-8,354.2847,353.959,,,,601.3556,589.8786,310.3079,308.7165,0,13.62778,67,66.4,,,32.99256484,,15.5,15.1,-30,17.645,15.8611,16.7421,,17.91068294,,140,60.4,148,68.8,16.8,16.8,15,15,,,0,
underway_1200.33908964,33908964,201011040,2011-03-18T05:00:00,20110318050000,MULTIPOINT ((-42.8826 147.3405)),147.3405,-42.8826,160.6,79.534,79.43664551,,0,0.82,0,0.16,-0.71,,,1015.26,,,42.95410384,,,8.493,2.1156,4.198,,,,-8,352.0342,353.0939,,,,499.2206,491.7673,253.3875,254.3404,0,13.62441,64.4,65.1,,,32.62896985,,15.5,15,-30,17.4215,15.7027,16.7354,,17.83503949,,137,57.8,148,68.5,14.8,14.8,13.1,13.1,,,4133.05,
underway_1200.33909084,33909084,201011040,2011-03-18T05:20:00,20110318052000,MULTIPOINT ((-42.8826 147.3405)),147.3405,-42.8826,183.1,79.225,79.16748047,,0,0.87,0,0.38,0,0,2650,1015.23,,,42.67504855,,,8.452,2.0992,,,,0,-8,370.1457,375.0677,,,,1375.164,1494.08,760.1626,287.6677,0,13.6615,67.2,66.5,,,32.4092093,,15.2,14.9,-30,17.2373,16.5746,16.7513,,17.81372714,7.1,122,42.5,126,47.3,16.1,16.1,15,15,9998,,0,
underway_1200.33909204,33909204,201011040,2011-03-18T05:40:00,20110318054000,MULTIPOINT ((-42.8826 147.3405)),147.3405,-42.8826,183.1,79.058,78.98071289,,0,1.21,0,0.4,-0.24,0,1010,1015.21,,,42.60063252,,,8.056,2.2222,4.194,,,0,-8,359.7287,359.2505,,,,353.1842,363.5226,179.9419,189.4397,0,13.67499,66.4,66.5,,,32.33735119,,15.1,14.8,-30,16.2619,15.6494,16.7191,,17.82475157,6.71,125,45.6,129,50,16.2,16.2,15,15,9998,,5849.64,
underway_1200.33909324,33909324,201011040,2011-03-18T06:00:00,20110318060000,MULTIPOINT ((-42.8826 147.3405)),147.3405,-42.8826,179.2,79.57,79.50256348,,0,1.2,0,0.52,-0.18,0,930,1015.28,,,42.38724107,,,8.615,2.255,4.197,,,0,-8,363.1654,363.9077,,,,303.5564,305.726,154.2359,156.1124,0,13.68847,67.9,67.9,,,32.16000524,,15.1,14.8,-30,15.9703,15.3206,16.7014,,17.82034201,0.467,136,56.1,146,66.6,13.8,13.8,12.4,12.4,30,,5619.79,
underway_1200.33909444,33909444,201011040,2011-03-18T06:20:00,20110318062000,MULTIPOINT ((-42.8826 147.3404)),147.3404,-42.8826,173.1,79.556,79.43664551,,0,1.34,0,0.47,-0.13,0,900,1015.27,,,40.18569605,,,8.619,2.2304,4.194,,,0,-8,346.5916,345.4538,,,,328.7262,327.5761,167.0889,168.3908,0,13.70196,64.9,64.1,,,30.29483338,,15.2,15,-30,16.07,15.4839,16.7302,,17.8313654,0.392,142,62.6,154,74.8,15.9,15.9,14,14,30,,0,
underway_1200.33909564,33909564,201011040,2011-03-18T06:40:00,20110318064000,MULTIPOINT ((-42.8826 147.3405)),147.3405,-42.8826,186.2,79.803,79.70581055,,0,0.92,0,0,-0.69,0,800,1015.36,,,39.40781855,,,8.588,2.2386,4.194,,,0,-8,342.5856,345.0846,,,,251.4058,249.149,126.6938,126.2931,0,13.69859,66.2,64.8,,,29.63471269,,15.1,14.9,-30,15.89,15.4161,16.8105,,17.84238707,0.369,141,61.6,153,73.4,16,16,14.2,14.2,30,,0,
underway_1200.33909684,33909684,201011040,2011-03-18T07:00:00,20110318070000,MULTIPOINT ((-42.8826 147.3405)),147.3405,-42.8826,313.6,79.393,79.44213867,,0,1.05,0,0.38,-0.47,0,1070,1015.38,,,39.62551915,,35.92,8.597,3.0012,,197.71799826,241.19,0,-8,336.9997,337.7746,,,,456.3615,506.2923,269.9128,292.9299,0,13.69522,66.4,65.9,29.72699695,,29.75274837,,14.8,14.7,-30,15.6048,15.2575,16.8622,,17.93049837,0.36,144,64.4,154,75,15.5,15.5,13.7,13.7,30,,0,17.99
underway_1200.33909804,33909804,201011040,2011-03-18T07:20:00,20110318072000,MULTIPOINT ((-42.8826 147.3404)),147.3404,-42.8826,313.6,78.968,78.97521973,,0,1.22,0,0.47,0,0,510,1015.59,,,39.30715688,,35.6,8.62,3.2882,4.187,202.59456155,246.65,0,-8,355.9054,356.7829,,,,159.7656,163.0242,82.62637,84.19542,0,13.71544,67.2,66.4,29.47253661,,29.47998417,,14.5,14.4,-30,15.1927,14.7993,16.8443,,17.94003715,0.34,145,66.3,158,79.1,11.6,11.6,10.5,10.5,30,,0,18
underway_1200.33909924,33909924,201011040,2011-03-18T07:40:00,20110318074000,MULTIPOINT ((-42.8825 147.3405)),147.3405,-42.8825,347.9,79.132,79.07409668,,0,1.09,0,0.01,-0.48,0,210,1015.67,,,39.22182702,,35.47,8.588,3.3456,4.192,204.71410798,249.24,0,-8,347.1226,348.6127,,,,80.8421,84.28108,36.7243,38.58957,0,13.7087,67.7,66.7,29.42525266,,29.42198553,,14.4,14.3,-30,14.6867,14.4801,16.8343,,17.9216922,0.728,141,61.6,153,73.8,10.7,10.7,9.6,9.6,30,,0,17.98
