FID,id,set_code,date_time_utc,timestamp_gps_utc,geom,longitude,latitude,ship_course_over_ground_deg,ship_heading_gps_deg,ship_heading_gyro_deg,ship_log_knot,ship_spd_over_ground_knot,pitch_ten_sec_max_deg,pitch_ten_sec_min_deg,roll_ten_sec_max_deg,roll_ten_sec_min_deg,accum_precipitation_owi_mm,ambient_light_owi_candlesperm2,atm_press_hpa,bphase_optode_nounit,chlorophyll_ugperl,conductivity_tsg_mspercm,dew_point_degc,dphase_optode_nounit,flow_rate_tsg_lpermin,fluorescence_nounit,fluoromtr_flow_rate_lpermin,oxy_concen_corr_mmol,oxy_concen_uncorr_mmol,precipitation_rate_owi_mmperh,rad_biometric_medperhr,rad_infrrd_port_wperm2,rad_infrrd_strbrd_wperm2,rad_lcr_port_mmolepersperm2,rad_lcr_strbrd_mmolepersperm2,rad_lcr_wperm2,rad_par_port_wperme,rad_par_strbrd_wperme,rad_slr_port_wperm2,rad_slr_strbrd_wperm2,rad_uv_wperm2,rain_accum_foremst_mm,rel_humidity_port_percent,rel_humidity_strbrd_percent,salinity_optode_psu,salinity_other_psu,salinity_tsg_psu,temp_air_degc,temp_air_port_degc,temp_air_strbrd_degc,temp_biometer_degc,temp_infrrd_snsor_port_degc,temp_infrrd_snsor_strbrd_degc,temp_sea_wtr_degc,temp_sea_wtr_high_res_degc,temp_tsg_degc,visibility_owi_km,wnd_dir_port_corr_deg,wnd_dir_port_uncorr_deg,wnd_dir_strbrd_corr_deg,wnd_dir_strbrd_uncorr_deg,wnd_spd_port_corr_knot,wnd_spd_port_uncorr_knot,wnd_spd_strbrd_corr_knot,wnd_spd_strbrd_uncorr_knot,wthr_indictr_code_owi_nounit,wtr_depth_biometr_m,wtr_depth_m,wtr_temp_optode_degc
underway_1200.41552348,41552348,201718030,2018-01-16T00:00:05,43116.000058,MULTIPOINT ((-42.881894 147.34156)),147.34156,-42.881894,0,351.600006,0,,0,0.3985,0.13397,-0.46126,-0.73998,,,0,31.68,1.94072,43.900002,,35.459999,13.81,340.362694,0,240.227997,253.138333,,,0,404.940741,,,,0,1668.571582,0,871.201416,,0,44.009158,0,33.537998,,33.537571,,18.6,0,,0,19.172475,0,,17.707428,,0,0,0,0,0,0,0,0,,,,17.58
underway_1200.41552468,41552468,201718030,2018-01-16T00:20:05,43116.013944,MULTIPOINT ((-42.881894 147.341563)),147.341563,-42.881894,185.712885,351.57423,0,,0.074226,0.53803,0.14439,-0.24913,-0.60178,,,1024.400024,31.68,2.022182,43.905428,,35.459999,13.81315,351.12228,4.9,240.218002,253.209542,,,434.155056,406.296613,,,,1684.55424,1741.854126,941.380382,921.773193,,47.786763,42.222518,54.783837,33.543999,,33.54357,,19.094371,14.1,,24.538137,19.242733,17.20194,,17.706287,,123.754725,133.652832,123.251575,132.425153,3.025157,3.025157,7.6,7.6,,,,17.58
underway_1200.41552588,41552588,201718030,2018-01-16T00:40:05,43116.027829,MULTIPOINT ((-42.881457 147.342038)),147.342038,-42.881457,9.630969,6.284515,0,,1.4,0.56719,0.15452,-0.74549,-1.29411,,,1024.01001,32.200001,1.885829,43.827849,,36.027537,13.79,333.177202,4.882235,231.850998,244.592169,,,428.32001,406.67785,,,,1778.308503,1799.62085,980.313538,957.779084,,47.758999,44.971474,53.488152,33.651001,,33.647988,,18.700001,14.7,,24.044651,19.902691,17.289013,,17.499861,,135.742777,120.985833,128.742777,113.057226,7.451445,6.725722,7.474278,6.874278,,,,17.42
underway_1200.41552708,41552708,201718030,2018-01-16T01:00:05,43116.041726,MULTIPOINT ((-42.903428 147.369203)),147.369203,-42.903428,143.219777,144.590115,0,,9.2,0.2714,0.12493,-0.40234,-0.57088,,,1023.854528,31.469999,1.366679,43.94607,,35.23,13.793911,264.823834,4.872669,243.334,256.288512,,,411.165756,401.265961,,,,1409.844635,1870.266255,1053.953247,989.777008,,47.873317,52.700001,54.732884,33.487,,33.490069,,14.8,14.6,,20.109258,18.818275,17.35,,17.813561,,184.898949,11.538369,145.323162,94.233115,4.116158,12.521211,3.221211,12.421211,,,,17.690001
underway_1200.41552828,41552828,201718030,2018-01-16T01:20:05,43116.055602,MULTIPOINT ((-42.963064 147.376052)),147.376052,-42.963064,184.100006,185.199997,0,,12.4,0.39393,0.05628,-0.47886,-0.78877,,,1023.710918,31.540001,1.034326,44.37444,,35.310001,13.8,221.043523,4.893135,242.267338,256.100664,,,398.695868,398.401306,,,,1847.999414,1857.048828,1068.01001,996.883801,,47.839697,55.604748,56.292859,33.964001,,33.964001,,14.5,14.6,,18.682144,18.546623,17.13018,,17.68288,,13.309269,356.580306,44.654635,343.941756,2.773093,9.7,3.965463,9.8,,,,17.567867
underway_1200.41552948,41552948,201718030,2018-01-16T01:40:05,43116.069496,MULTIPOINT ((-43.029341 147.379583)),147.379583,-43.029341,172.044059,172.300003,0,,11.8,0.58126,-0.1214,0.07691,-0.72569,,,1023.461929,31.639999,0.908881,45.257452,,35.411971,13.83043,204.549689,4.9,237.130367,251.294087,,,396.034363,395.152289,,,,1898.085439,1914.757837,1101.149725,1031.337402,,47.849123,61.932725,62.3878,34.417,,34.411823,,14.1,14.126454,,17.600925,17.534251,17.429665,,18.047921,,153.174183,352.344944,126.724728,340.472471,7.582582,19.055055,9.010109,19.255055,,,,17.868029
underway_1200.41553068,41553068,201718030,2018-01-16T02:00:05,43116.083393,MULTIPOINT ((-43.084041 147.418816)),147.418816,-43.084041,135.735733,134.699997,0,,11.9,0.70822,-0.13692,-0.23604,-0.96494,,,1023.43799,32.00819,1.018431,45.056999,,35.810001,13.81,219.053886,4.874063,232.929737,247.252663,,,389.934024,390.980709,,,,1938.915894,1955.202148,1106.595581,1038.121216,,47.896969,61.775475,62.474598,34.584999,,34.583699,,13.89371,13.8,,16.755119,16.761862,17.16,,17.642735,,141.560144,3.584022,107.840216,350.612027,7.256014,19.184022,7.556014,19.012028,,,,17.530001
underway_1200.41553188,41553188,201718030,2018-01-16T02:20:05,43116.097278,MULTIPOINT ((-43.137767 147.469576)),147.469576,-43.137767,154.042357,155.957643,0,,11.6,0.24735,-0.19289,-0.23629,-0.7617,,,1023.234468,31.33,0.685534,45.052359,,35.07,13.815667,175.243523,4.885548,246.74063,262.5034,,,387.577145,390.37251,,,,1922.851074,1935.085229,0,1041.571777,,47.922266,62.174428,62.148839,34.757999,,34.759321,,13.7,13.8,,16.601626,16.944942,16.864744,,17.433597,,146.40064,355.069607,111.69607,342.941769,4.942614,16.485229,6.10085,16.685228,,,,17.361653
underway_1200.41553308,41553308,201718030,2018-01-16T02:40:05,43116.111157,MULTIPOINT ((-43.199709 147.490875)),147.490875,-43.199709,178.600006,179.699997,0,,11.4,0.65574,-0.493917,0.312886,-0.578903,,,1023.099976,31.141497,0.557786,44.718675,,34.871497,13.795787,158.36345,4.88,255.189041,272.278025,,,386.553392,390.120215,,,,1909.813727,1940.115259,0,1034.881226,,47.95438,61.748574,62.7177,35.007999,,35.007558,,13.9,13.9,,16.548427,16.912016,16.280001,,16.812117,,124.877976,344.665871,109.877976,335.5,5.041468,14.987797,6.882937,15.287797,,,,16.780001
underway_1200.41553428,41553428,201718030,2018-01-16T03:00:05,43116.12506,MULTIPOINT ((-43.263285 147.490683)),147.490683,-43.263285,178.097593,179.800003,0,,11.385886,2.25248,-1.17816,0.33492,-1.17884,,,1022.791172,31.629999,0.511841,44.537442,,35.41,13.816247,152.355072,4.88,247.285995,263.88332,,,387.434995,392.375403,,,,1890.570959,1907.538916,1092.390796,1021.339636,,47.969817,62.599998,63.182499,34.964001,,34.963558,,14,13.9,,16.752623,17.242593,16.221233,,16.678886,,96,340.86132,91,333.13148,4.78066,12.45967,6.410495,12.789505,,,,16.6
