ascat_1,ascat_2,ascat_3,date
-54.5265,-34.8607,1,2015365
-54.581,-34.7504,1,2016001
-54.2204,-34.8282,1,2016002
-54.2204,-34.8282,1,2016003
-54.1441,-34.9468,0,2016004
-53.9534,-35.2433,0,2016005
-53.7056,-35.6287,0,2016006
-53.4577,-36.0141,0,2016007
-53.267,-36.3106,0,2016008
-53.1907,-36.4292,1,2016009
-53.1907,-36.4292,1,2016010
-53.1907,-36.4292,1,2016011
-53.1907,-36.4292,1,2016012
-53.2457,-36.1442,1,2016013
-53.2274,-36.163,1,2016014
-52.733,-35.5886,1,2016015
-52.0442,-35.2654,1,2016016
-52.0442,-35.2654,1,2016017
-52.0442,-35.2654,0,2016018
-52.0442,-35.2654,1,2016019
-52.0442,-35.2654,1,2016020
-52.7317,-35.5214,1,2016021
-52.7317,-35.5214,1,2016022
-52.7317,-35.5214,1,2016023
-52.6924,-35.3971,0,2016024
-52.6101,-35.2631,1,2016025
-52.4808,-35.2516,1,2016026
-52.4808,-35.2516,1,2016027
-52.1916,-35.1543,1,2016028
-52.1569,-35.2472,1,2016029
-52.1569,-35.2472,1,2016030
-52.4766,-35.1464,1,2016031
-52.5226,-34.8932,1,2016032
-52.3489,-34.6475,1,2016033
-52.3489,-34.6475,1,2016034
-52.3489,-34.6475,1,2016035
-52.3489,-34.6475,1,2016036
-52.3489,-34.6475,1,2016037
-52.3489,-34.6475,1,2016038
-52.3489,-34.6475,0,2016039
-52.3489,-34.6475,1,2016040
-52.5319,-35.5817,1,2016041
-52.9848,-35.501,1,2016042
-52.9848,-35.501,1,2016043
-52.9848,-35.501,1,2016044
-52.9848,-35.501,1,2016045
-52.9848,-35.501,1,2016046
-52.4008,-35.3496,0,2016047
-51.8169,-35.1983,1,2016048
-51.8169,-35.1983,1,2016049
-51.8169,-35.1983,1,2016050
-51.8169,-35.1983,1,2016051
-51.8169,-35.1983,1,2016052
-51.8169,-35.1983,1,2016053
-51.8169,-35.1983,1,2016054
-51.8169,-35.1983,0,2016055
-51.8169,-35.1983,1,2016056
-51.8169,-35.1983,1,2016057
-51.8169,-35.1983,1,2016058
-51.8169,-35.1983,1,2016059
-51.8169,-35.1983,0,2016060
-51.8169,-35.1983,1,2016061
-51.8169,-35.1983,1,2016062
-51.8169,-35.1983,1,2016063
-51.8169,-35.1983,1,2016064
-51.8169,-35.1983,1,2016065
-51.8169,-35.1983,1,2016066
-51.8317,-35.2439,1,2016067
