ascat_1,ascat_2,ascat_3,date,nic_1,nic_2,nic_3,size_1,size_2
-74.5572,-104.3092,1,2015226,-74.62,-104.05,1,11,7
-74.5478,-104.4395,1,2015227,0,0,0,0,0
-74.5422,-104.5207,1,2015228,0,0,0,0,0
-74.5422,-104.5207,0,2015229,0,0,0,0,0
-74.5422,-104.5207,1,2015230,0,0,0,0,0
-74.4925,-104.7463,1,2015231,0,0,0,0,0
-74.4925,-104.7463,1,2015232,0,0,0,0,0
-74.4925,-104.7463,1,2015233,0,0,0,0,0
-74.4925,-104.7463,1,2015234,0,0,0,0,0
-74.4925,-104.7463,1,2015235,0,0,0,0,0
-74.5387,-104.4837,1,2015236,0,0,0,0,0
-74.5387,-104.4837,1,2015237,0,0,0,0,0
-74.5387,-104.4837,1,2015238,0,0,0,0,0
-74.5387,-104.4837,1,2015239,0,0,0,0,0
-74.5522,-104.7649,1,2015240,-74.55,-104.42,1,11,7
-74.5522,-104.7649,1,2015241,0,0,0,0,0
-74.5522,-104.7649,1,2015242,0,0,0,0,0
-74.5202,-104.6977,1,2015243,0,0,0,0,0
-74.5202,-104.6977,1,2015244,0,0,0,0,0
-74.5202,-104.6977,1,2015245,0,0,0,0,0
-74.5202,-104.6977,1,2015246,0,0,0,0,0
-74.4704,-104.6876,1,2015247,0,0,0,0,0
-74.4704,-104.6876,1,2015248,0,0,0,0,0
-74.4704,-104.6876,1,2015249,0,0,0,0,0
-74.4704,-104.6876,1,2015250,0,0,0,0,0
-74.4704,-104.6876,1,2015251,0,0,0,0,0
-74.4704,-104.6876,0,2015252,0,0,0,0,0
-74.4704,-104.6876,1,2015253,0,0,0,0,0
-74.4704,-104.6876,1,2015254,0,0,0,0,0
-74.4704,-104.6876,1,2015255,0,0,0,0,0
-74.4704,-104.6876,1,2015256,0,0,0,0,0
-74.4704,-104.6876,0,2015257,0,0,0,0,0
-74.4704,-104.6876,1,2015258,0,0,0,0,0
-74.4704,-104.6876,1,2015259,0,0,0,0,0
-74.4704,-104.6876,0,2015260,0,0,0,0,0
-74.4704,-104.6876,1,2015261,0,0,0,0,0
-74.4704,-104.6876,1,2015262,0,0,0,0,0
-74.4704,-104.6876,1,2015263,0,0,0,0,0
-74.4704,-104.6876,0,2015264,0,0,0,0,0
-74.4704,-104.6876,1,2015265,0,0,0,0,0
-74.4704,-104.6876,1,2015266,0,0,0,0,0
-74.4704,-104.6876,1,2015267,0,0,0,0,0
