ascat_1,ascat_2,ascat_3,date
-65.7229,148.6042,1,2016001
-65.7229,148.6042,1,2016002
-65.6736,149.0263,1,2016003
-65.7063,149.3389,1,2016004
-65.7063,149.3389,1,2016005
-65.6902,148.798,1,2016006
-65.6902,148.798,1,2016007
-65.6399,148.6073,1,2016008
-65.6399,148.6073,1,2016009
-65.6399,148.6073,1,2016010
-65.6399,148.6073,1,2016011
-65.6688,148.8157,1,2016012
-65.7421,148.393,0,2016013
-65.7964,147.9704,1,2016014
-65.7964,147.9704,1,2016015
-65.7964,147.9704,1,2016016
-65.7964,147.9704,1,2016017
-65.7964,147.9704,0,2016018
-65.7964,147.9704,1,2016019
-65.7964,147.9704,1,2016020
-65.7964,147.9704,1,2016021
-65.7964,147.9704,1,2016022
-65.7864,147.9369,1,2016023
-65.7864,147.9369,1,2016024
-65.7864,147.9369,1,2016025
-65.7864,147.9369,1,2016026
-65.7864,147.9369,1,2016027
-65.7864,147.9369,1,2016028
-65.7864,147.9369,1,2016029
-65.7864,147.9369,1,2016030
-65.7864,147.9369,1,2016031
-65.7864,147.9369,1,2016032
-65.8387,147.1089,1,2016033
-65.8387,147.1089,1,2016034
-65.7809,146.7325,1,2016035
-65.7685,146.5126,1,2016036
-65.7685,146.5126,1,2016037
-65.7401,146.3236,1,2016038
-65.7635,146.1928,1,2016039
-65.8613,145.8943,1,2016040
-65.8613,145.8943,1,2016041
-65.8667,145.7084,1,2016042
-65.8667,145.7084,1,2016043
-65.8667,145.7084,1,2016044
-65.9454,145.5156,1,2016045
-65.9315,145.5616,1,2016046
-65.9315,145.5616,0,2016047
-65.9315,145.5616,1,2016048
-65.87,145.9472,1,2016049
-65.7993,146.2944,1,2016050
-65.7712,146.4876,1,2016051
-65.7712,146.4876,1,2016052
-65.7712,146.4876,1,2016053
-65.7712,146.4876,1,2016054
-65.7712,146.4876,0,2016055
-65.7712,146.4876,1,2016056
-65.7712,146.4876,1,2016057
-65.7712,146.4876,1,2016058
-65.7596,146.0445,1,2016059
-65.7596,146.0445,1,2016060
-65.7596,146.0445,1,2016061
-65.8525,145.6487,1,2016062
-65.8525,145.6487,1,2016063
-65.8853,145.3883,1,2016064
-65.8853,145.3883,1,2016065
-65.8908,145.2846,1,2016066
-65.8908,145.2846,1,2016067
-65.8948,145.2359,0,2016068
-65.8988,145.1871,1,2016069
-65.8988,145.1871,1,2016070
-65.8988,145.1871,1,2016071
-65.8988,145.1871,1,2016072
-65.8988,145.1871,1,2016073
-65.8387,145.4508,1,2016074
