ascat_1,ascat_2,ascat_3,date,nic_1,nic_2,nic_3,size_1,size_2
-70.0636,-6.788,1,2015229,0,0,0,0,0
-70.2471,-7.6789,1,2015230,0,0,0,0,0
-70.3411,-7.8544,1,2015231,0,0,0,0,0
-70.3125,-8.262,1,2015232,0,0,0,0,0
-70.3841,-8.6284,1,2015233,0,0,0,0,0
-70.4017,-9.073,1,2015234,0,0,0,0,0
-70.4289,-9.3166,1,2015235,0,0,0,0,0
-70.5373,-9.7145,1,2015236,0,0,0,0,0
-70.5234,-9.9758,1,2015237,0,0,0,0,0
-70.5234,-9.9758,1,2015238,0,0,0,0,0
-70.5531,-10.1533,1,2015239,0,0,0,0,0
-70.5531,-10.1533,1,2015240,-70.58,-9.98,1,16,8
-70.5629,-10.3314,1,2015241,0,0,0,0,0
-70.6339,-10.4928,1,2015242,0,0,0,0,0
-70.6339,-10.4928,1,2015243,0,0,0,0,0
-70.6339,-10.4928,1,2015244,0,0,0,0,0
-70.6339,-10.4928,1,2015245,0,0,0,0,0
-70.6339,-10.4928,1,2015246,0,0,0,0,0
-70.7265,-10.7965,1,2015247,0,0,0,0,0
-70.7265,-10.7965,1,2015248,0,0,0,0,0
-70.7805,-11.075,1,2015249,0,0,0,0,0
-70.8657,-11.3225,1,2015250,0,0,0,0,0
-70.8673,-11.4683,1,2015251,0,0,0,0,0
-70.958,-11.6236,1,2015252,0,0,0,0,0
-70.9972,-11.9571,1,2015253,0,0,0,0,0
-71.0389,-12.236,1,2015254,0,0,0,0,0
-71.0763,-12.4343,1,2015255,0,0,0,0,0
-71.0998,-12.6768,1,2015256,0,0,0,0,0
-71.0998,-12.6768,0,2015257,0,0,0,0,0
-71.0998,-12.6768,1,2015258,0,0,0,0,0
-71.1097,-12.8246,1,2015259,0,0,0,0,0
-71.1778,-13.4053,1,2015260,0,0,0,0,0
-71.2454,-13.8606,1,2015261,0,0,0,0,0
-71.2701,-14.077,1,2015262,0,0,0,0,0
-71.3264,-14.2712,1,2015263,0,0,0,0,0
-71.3374,-14.4998,0,2015264,0,0,0,0,0
-71.3491,-14.7425,1,2015265,0,0,0,0,0
-71.4321,-14.9838,1,2015266,0,0,0,0,0
-71.593,-15.2732,1,2015267,0,0,0,0,0
-71.6866,-15.4039,1,2015268,0,0,0,0,0
-71.8932,-15.643,1,2015269,0,0,0,0,0
-72.0019,-15.9609,1,2015270,0,0,0,0,0
-72.0115,-16.4437,1,2015271,0,0,0,0,0
-72.039,-16.6971,0,2015272,0,0,0,0,0
-72.0898,-16.8358,1,2015273,0,0,0,0,0
-72.2014,-16.8768,1,2015274,0,0,0,0,0
-72.3132,-17.1389,1,2015275,0,0,0,0,0
-72.3588,-17.5496,1,2015276,0,0,0,0,0
-72.428,-17.8138,1,2015277,0,0,0,0,0
-72.4623,-18.2183,1,2015278,0,0,0,0,0
-73.6777,-24.6641,1,2015279,0,0,0,0,0
-72.6167,-19.1318,1,2015280,0,0,0,0,0
-72.6957,-19.692,1,2015281,0,0,0,0,0
-72.8419,-19.9302,1,2015282,0,0,0,0,0
-72.976,-20.3757,1,2015283,0,0,0,0,0
-73.0669,-20.716,1,2015284,0,0,0,0,0
-73.1604,-21.1355,1,2015285,0,0,0,0,0
-73.2258,-21.308,1,2015286,0,0,0,0,0
-73.2345,-21.6058,1,2015287,0,0,0,0,0
-73.3003,-21.89,1,2015288,0,0,0,0,0
-73.3503,-22.1116,1,2015289,0,0,0,0,0
-73.3503,-22.1116,1,2015290,0,0,0,0,0
-73.3929,-22.3968,1,2015291,0,0,0,0,0
-73.3987,-22.5282,1,2015292,0,0,0,0,0
-73.4376,-22.8473,1,2015293,0,0,0,0,0
-73.4658,-23.1528,1,2015294,0,0,0,0,0
-73.537,-23.385,1,2015295,0,0,0,0,0
-73.5667,-23.5854,1,2015296,0,0,0,0,0
-73.6071,-23.8781,1,2015297,0,0,0,0,0
-73.6369,-24.0814,1,2015298,0,0,0,0,0
-73.6245,-24.2556,1,2015299,0,0,0,0,0
-73.6285,-24.5757,1,2015300,0,0,0,0,0
-73.6285,-24.5757,1,2015301,0,0,0,0,0
-73.6876,-24.7238,1,2015302,0,0,0,0,0
-73.7166,-24.9226,1,2015303,0,0,0,0,0
-73.7166,-24.9226,1,2015304,0,0,0,0,0
-73.7331,-25.2223,1,2015305,0,0,0,0,0
-73.7381,-25.435,1,2015306,0,0,0,0,0
-73.7613,-25.5959,1,2015307,0,0,0,0,0
-73.7843,-25.7572,1,2015308,0,0,0,0,0
-73.7843,-25.7572,1,2015309,0,0,0,0,0
-73.7769,-25.9739,1,2015310,0,0,0,0,0
-73.7584,-26.1092,1,2015311,0,0,0,0,0
-73.7774,-26.3032,1,2015312,0,0,0,0,0
-73.7442,-26.5456,0,2015313,0,0,0,0,0
-73.711,-26.691,1,2015314,0,0,0,0,0
