ascat_1,ascat_2,ascat_3,date
-69.9619,-59.6576,1,2016161
-69.9619,-59.6576,0,2016162
-69.9619,-59.6576,1,2016163
-69.9619,-59.6576,1,2016164
-69.9619,-59.6576,1,2016165
-69.5989,-58.9871,1,2016182
-69.5989,-58.9871,1,2016183
-69.5989,-58.9871,1,2016184
-69.5989,-58.9871,0,2016185
-69.5989,-58.9871,1,2016186
-69.5764,-58.9345,0,2016187
-69.5269,-58.8189,0,2016188
-69.4774,-58.7032,0,2016189
-69.4549,-58.6506,1,2016190
-69.4549,-58.6506,1,2016191
-69.4549,-58.6506,1,2016192
-69.4549,-58.6506,1,2016193
-69.4549,-58.6506,0,2016194
-69.4549,-58.6506,1,2016195
-69.5614,-59.186,1,2016196
-69.6279,-58.2767,1,2016197
-69.6431,-58.2982,1,2016198
-69.6509,-58.2821,1,2016199
-69.6498,-58.2155,1,2016200
-69.6448,-58.1924,1,2016201
-69.6448,-58.1924,1,2016202
-69.6448,-58.1924,1,2016203
-69.6448,-58.1924,1,2016204
-69.6787,-58.6116,1,2016205
-69.6789,-58.57,1,2016206
-69.6655,-58.5594,1,2016207
-69.6683,-58.531,0,2016208
-69.6711,-58.4811,1,2016209
-69.6503,-58.3835,1,2016210
-69.1817,-59.7873,1,2016211
-69.1796,-59.7792,1,2016212
-69.1796,-59.7792,1,2016213
-69.1724,-59.8045,0,2016214
-69.1652,-59.8686,1,2016215
-69.1909,-60.0569,1,2016216
-69.1426,-60.1958,1,2016217
-68.7523,-58.9408,1,2016218
-68.7632,-59.0196,1,2016219
-68.7984,-59.2844,1,2016220
-68.7885,-59.4581,0,2016221
-68.7786,-59.604,1,2016222
-68.8483,-59.7457,1,2016223
-68.7172,-59.7907,1,2016224
-68.5494,-59.5484,1,2016225
-68.4593,-59.6694,1,2016226
-68.4996,-59.7327,1,2016227
-68.5005,-59.7306,0,2016228
-68.5008,-59.7286,1,2016229
-68.4088,-59.8109,1,2016230
-68.2526,-59.7061,0,2016231
-68.0631,-59.6013,1,2016232
-67.8717,-59.6949,1,2016233
-67.8772,-59.6577,1,2016234
-67.8611,-59.6608,0,2016235
-67.8347,-59.6638,1,2016236
-67.8148,-59.6328,1,2016237
-67.9302,-59.7598,0,2016238
-68.0576,-59.9417,1,2016239
-68.0721,-60.0308,1,2016240
-68.054,-60.1498,1,2016241
-68.0439,-60.1632,1,2016242
-68.0286,-60.1587,0,2016243
-68.0093,-60.1542,1,2016244
-67.9852,-60.255,1,2016245
-68.0324,-59.9629,0,2016246
-68.0826,-59.6041,1,2016247
-68.0861,-59.5134,1,2016248
-68.0788,-59.182,1,2016249
-67.796,-59.0225,0,2016250
-67.5019,-58.953,1,2016251
-67.481,-59.0665,1,2016252
-67.4839,-59.1843,1,2016253
-67.4444,-59.0602,1,2016254
-67.4243,-59.0579,0,2016255
-67.4086,-59.0572,1,2016256
-67.3927,-59.084,1,2016257
-67.3945,-59.0457,0,2016258
-67.4,-58.9812,1,2016259
-67.4339,-58.9281,1,2016260
-67.4053,-59.0339,1,2016261
-67.3714,-59.0867,1,2016262
-67.386,-59.0639,0,2016263
-67.4182,-59.0136,0,2016264
-67.4508,-58.9627,1,2016265
-67.4781,-58.9198,1,2016266
-67.4496,-59.0258,1,2016267
-67.4418,-59.0969,1,2016268
-67.4196,-59.0094,1,2016269
-67.4235,-58.8832,1,2016270
-67.4779,-59.0143,1,2016271
-67.4431,-58.9114,1,2016272
-67.4654,-58.8172,1,2016273
-67.4644,-58.8516,1,2016274
-67.5944,-58.4598,1,2016275
-67.6105,-58.4589,0,2016276
-67.6157,-58.4586,1,2016277
-67.5915,-58.4975,1,2016278
-67.5916,-58.5869,0,2016279
-67.5921,-58.6513,1,2016280
-67.5977,-58.4854,1,2016281
-67.6315,-58.5262,1,2016282
-67.629,-58.4381,0,2016283
-67.6264,-58.315,1,2016284
-67.6822,-58.2599,1,2016285
-67.6742,-58.2296,0,2016286
-67.649,-58.2072,0,2016287
