ascat_1,ascat_2,ascat_3,date
-74.6,-108.683,1,2016001
-74.6,-108.683,1,2016002
-74.6,-108.683,1,2016003
-74.6,-108.683,1,2016004
-74.6,-108.683,1,2016005
-74.6,-108.683,1,2016006
-74.6,-108.683,1,2016007
-74.6,-108.683,1,2016008
-74.6,-108.683,1,2016009
-74.6,-108.683,1,2016010
-74.6,-108.683,1,2016011
-74.6,-108.683,1,2016012
-74.6351,-108.6973,0,2016013
-74.6701,-108.7115,1,2016014
-74.6701,-108.7115,1,2016015
-74.6701,-108.7115,1,2016016
-74.6701,-108.7115,1,2016017
-74.6701,-108.7115,0,2016018
-74.6701,-108.7115,1,2016019
-74.6701,-108.7115,1,2016020
-74.6701,-108.7115,1,2016021
-74.6701,-108.7115,1,2016022
-74.6701,-108.7115,1,2016023
-74.6614,-108.6595,0,2016024
-74.6527,-108.6074,1,2016025
-74.6527,-108.6074,1,2016026
-74.6527,-108.6074,1,2016027
-74.6527,-108.6074,1,2016028
-74.6144,-108.5589,1,2016029
-74.6144,-108.5589,1,2016030
-74.6144,-108.5589,0,2016031
-74.6144,-108.5589,1,2016032
-74.6144,-108.5589,1,2016033
-74.6144,-108.5589,1,2016034
-74.6144,-108.5589,1,2016035
-74.6144,-108.5589,1,2016036
-74.6144,-108.5589,1,2016037
-74.6144,-108.5589,1,2016038
-74.6144,-108.5589,1,2016039
-74.6144,-108.5589,0,2016040
-74.6144,-108.5589,1,2016041
-74.5722,-108.6685,1,2016042
-74.5722,-108.6685,1,2016043
-74.5722,-108.6685,1,2016044
-74.5722,-108.6685,1,2016045
-74.5722,-108.6685,1,2016046
-74.5722,-108.6685,0,2016047
-74.5722,-108.6685,1,2016048
-74.5722,-108.6685,1,2016049
-74.5722,-108.6685,1,2016050
-74.5722,-108.6685,1,2016051
-74.5722,-108.6685,1,2016052
-74.5722,-108.6685,1,2016053
-74.5722,-108.6685,1,2016054
-74.5722,-108.6685,0,2016055
-74.5722,-108.6685,1,2016056
-74.5722,-108.6685,1,2016057
-74.5722,-108.6685,1,2016058
-74.5722,-108.6685,1,2016059
-74.5722,-108.6685,0,2016060
-74.5722,-108.6685,1,2016061
-74.5722,-108.6685,1,2016062
-74.5722,-108.6685,1,2016063
-74.5722,-108.6685,1,2016064
-74.5722,-108.6685,1,2016065
-74.5722,-108.6685,1,2016066
-74.5722,-108.6685,1,2016067
-74.5722,-108.6685,0,2016068
-74.5722,-108.6685,1,2016069
-74.5722,-108.6685,1,2016070
-74.5722,-108.6685,1,2016071
-74.5722,-108.6685,1,2016072
-74.5722,-108.6685,1,2016073
-74.5722,-108.6685,1,2016074
-74.5722,-108.6685,0,2016075
-74.5722,-108.6685,1,2016076
-74.5722,-108.6685,1,2016077
-74.5722,-108.6685,1,2016078
-74.5722,-108.6685,1,2016079
-74.5722,-108.6685,1,2016080
-74.5722,-108.6685,1,2016081
-74.5722,-108.6685,0,2016082
-74.5722,-108.6685,1,2016083
-74.5722,-108.6685,1,2016084
-74.5722,-108.6685,1,2016085
-74.5722,-108.6685,1,2016086
-74.5722,-108.6685,1,2016087
-74.5722,-108.6685,1,2016088
-74.5722,-108.6685,0,2016089
-74.5722,-108.6685,1,2016090
-74.5722,-108.6685,1,2016091
-74.5722,-108.6685,1,2016092
-74.5722,-108.6685,1,2016093
-74.5722,-108.6685,1,2016094
-74.5722,-108.6685,1,2016095
-74.5722,-108.6685,1,2016096
-74.5722,-108.6685,1,2016097
-74.5722,-108.6685,1,2016098
-74.5722,-108.6685,1,2016099
-74.5722,-108.6685,1,2016100
-74.5722,-108.6685,1,2016101
-74.5722,-108.6685,1,2016102
-74.5722,-108.6685,0,2016103
-74.5722,-108.6685,1,2016104
-74.5722,-108.6685,1,2016105
-74.5722,-108.6685,1,2016106
-74.5722,-108.6685,1,2016107
-74.5722,-108.6685,1,2016108
-74.5722,-108.6685,1,2016109
-74.5722,-108.6685,1,2016110
-74.5722,-108.6685,1,2016111
-74.5722,-108.6685,1,2016112
-74.5722,-108.6685,1,2016113
-74.5722,-108.6685,1,2016114
-74.5722,-108.6685,1,2016115
-74.5722,-108.6685,0,2016116
-74.5722,-108.6685,1,2016117
-74.5722,-108.6685,1,2016118
-74.5722,-108.6685,1,2016119
-74.5722,-108.6685,1,2016120
-74.5722,-108.6685,1,2016121
-74.5722,-108.6685,1,2016122
-74.5722,-108.6685,1,2016123
-74.5811,-108.7177,1,2016124
-74.5811,-108.7177,1,2016125
-74.5811,-108.7177,1,2016126
-74.5811,-108.7177,1,2016127
-74.5811,-108.7177,1,2016128
-74.5811,-108.7177,1,2016129
-74.5811,-108.7177,0,2016130
-74.5811,-108.7177,1,2016131
-74.5811,-108.7177,1,2016132
-74.5811,-108.7177,1,2016133
-74.5811,-108.7177,0,2016134
-74.5811,-108.7177,0,2016135
-74.5811,-108.7177,0,2016136
-74.5811,-108.7177,1,2016137
-74.5811,-108.7177,1,2016138
-74.5811,-108.7177,1,2016139
-74.5811,-108.7177,1,2016140
-74.5811,-108.7177,1,2016141
-74.5811,-108.7177,1,2016142
-74.5811,-108.7177,1,2016143
-74.5811,-108.7177,0,2016144
-74.5811,-108.7177,1,2016145
-74.5811,-108.7177,1,2016146
-74.5722,-108.7472,1,2016147
-74.5722,-108.7472,1,2016148
-74.5722,-108.7472,1,2016149
-74.5722,-108.7472,1,2016150
-74.5722,-108.7472,1,2016151
-74.5722,-108.7472,1,2016152
-74.6127,-108.8398,1,2016153
-74.6127,-108.8398,1,2016154
-74.6127,-108.8398,0,2016155
-74.6127,-108.8398,1,2016156
-74.6127,-108.8398,1,2016157
-74.6127,-108.8398,1,2016158
-74.6127,-108.8398,1,2016159
-74.6127,-108.8398,1,2016160
-74.6127,-108.8398,1,2016161
-74.6127,-108.8398,0,2016162
-74.6127,-108.8398,1,2016163
-74.6127,-108.8398,1,2016164
-74.6127,-108.8398,1,2016165
-74.6127,-108.8398,1,2016182
-74.6127,-108.8398,1,2016183
-74.6127,-108.8398,1,2016184
-74.6127,-108.8398,0,2016185
-74.6127,-108.8398,1,2016186
-74.6127,-108.8398,0,2016187
-74.6127,-108.8398,1,2016188
-74.6127,-108.8398,1,2016189
-74.6127,-108.8398,1,2016190
-74.6127,-108.8398,1,2016191
-74.6127,-108.8398,1,2016192
-74.6127,-108.8398,1,2016193
-74.6145,-108.823,0,2016194
-74.618,-108.781,0,2016195
-74.6198,-108.7263,1,2016196
-74.6118,-108.6372,1,2016197
-74.6153,-108.6416,1,2016198
-74.6218,-108.5683,1,2016199
-74.6218,-108.5683,1,2016200
-74.6218,-108.5683,1,2016201
-74.6218,-108.5683,1,2016202
-74.6218,-108.5683,1,2016203
-74.6218,-108.5683,1,2016204
-74.6218,-108.5683,1,2016205
-74.6218,-108.5683,1,2016206
-74.6218,-108.5683,1,2016207
-74.6218,-108.5683,1,2016208
-74.6218,-108.5683,1,2016209
-74.6218,-108.5683,1,2016210
-74.6218,-108.5683,0,2016211
-74.6218,-108.5683,1,2016212
-74.6218,-108.5683,1,2016213
-74.6202,-108.5866,0,2016214
-74.6186,-108.605,1,2016215
-74.6747,-108.4305,1,2016216
-74.6642,-108.3412,1,2016217
-74.6518,-108.3665,1,2016218
-74.6518,-108.3665,1,2016219
-74.6518,-108.3665,1,2016220
-74.611,-108.5394,0,2016221
-74.5702,-108.7123,1,2016222
-74.5702,-108.7123,1,2016223
-74.6412,-108.6717,1,2016224
-74.7306,-108.6247,1,2016225
-74.7495,-108.5694,1,2016226
-74.7495,-108.5694,1,2016227
-74.7567,-108.5949,0,2016228
-74.7737,-108.6415,1,2016229
-74.8119,-108.6908,1,2016230
-74.678,-108.6757,0,2016231
-74.5441,-108.6357,1,2016232
-74.5655,-108.4944,1,2016233
-74.5646,-108.6182,1,2016234
-74.5597,-108.6124,0,2016235
-74.5555,-108.6066,1,2016236
-74.5555,-108.6066,1,2016237
-74.5661,-108.6061,0,2016238
-74.5862,-108.6047,1,2016239
-74.6094,-108.5934,1,2016240
-74.5912,-108.5703,1,2016241
-74.5912,-108.5703,1,2016242
-74.5896,-108.5886,0,2016243
-74.5879,-108.6069,1,2016244
-74.5879,-108.6069,1,2016245
-74.5838,-108.6254,0,2016246
-74.5722,-108.6685,1,2016247
-74.521,-108.7633,1,2016248
-74.5211,-108.9639,1,2016249
-74.5113,-108.9736,0,2016250
-74.5015,-108.9765,1,2016251
-74.5314,-108.8521,1,2016252
-74.5271,-108.8088,1,2016253
-74.542,-108.8686,1,2016254
-74.5357,-108.8865,0,2016255
-74.5295,-108.8933,1,2016256
-74.5295,-108.8933,1,2016257
-74.525,-108.8906,0,2016258
-74.5204,-108.8816,1,2016259
-74.5245,-108.7243,1,2016260
-74.5408,-108.7479,1,2016261
-74.5666,-108.8215,1,2016262
-74.5834,-108.739,0,2016263
-74.5967,-108.5859,0,2016264
-74.6073,-108.5034,1,2016265
-74.6151,-108.6442,1,2016266
-74.6062,-108.63,1,2016267
